"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","SalesRating","HireSource","Campus"
"11",35,0,"Travel_Rarely",809,"Research & Development",16,3,"Medical",14,1,"Male",84,4,1,"Laboratory Technician",2,2426,16479,0,"No",13,4,3,80,1,6,5,3,5,4,0,3,NA,"Applied Online",NA
"12",29,0,"Travel_Rarely",153,"Research & Development",15,2,"Life Sciences",15,4,"Female",49,2,2,"Laboratory Technician",3,4193,12682,0,"Yes",12,3,4,80,0,10,3,3,9,5,0,8,NA,NA,NA
"13",31,0,"Travel_Rarely",670,"Research & Development",26,1,"Life Sciences",16,1,"Male",31,3,1,"Research Scientist",3,2911,15170,1,"No",17,3,4,80,1,5,1,2,5,2,4,3,NA,"Applied Online",NA
"14",34,0,"Travel_Rarely",1346,"Research & Development",19,2,"Medical",18,2,"Male",93,3,1,"Laboratory Technician",4,2661,8758,0,"No",11,3,3,80,1,3,2,3,2,2,1,2,NA,"Campus","State"
"15",28,1,"Travel_Rarely",103,"Research & Development",24,3,"Life Sciences",19,3,"Male",50,2,1,"Laboratory Technician",3,2028,12947,5,"Yes",14,3,2,80,0,6,4,3,4,2,0,3,NA,"Campus","State"
"16",29,0,"Travel_Rarely",1389,"Research & Development",21,4,"Life Sciences",20,2,"Female",51,4,3,"Manufacturing Director",1,9980,10195,1,"No",11,3,3,80,1,10,1,3,10,9,8,8,NA,NA,NA
"17",32,0,"Travel_Rarely",334,"Research & Development",5,2,"Life Sciences",21,1,"Male",80,4,1,"Research Scientist",2,3298,15053,0,"Yes",12,2,4,80,2,7,5,2,6,2,0,5,NA,"Referral",NA
"18",22,0,"Non-Travel",1123,"Research & Development",16,2,"Medical",22,4,"Male",96,4,1,"Laboratory Technician",4,2935,7324,1,"Yes",13,3,2,80,2,1,2,2,1,0,0,0,NA,"Applied Online",NA
"19",53,0,"Travel_Rarely",1219,"Sales",2,4,"Life Sciences",23,1,"Female",78,2,4,"Manager",4,15427,22021,2,"No",16,3,3,80,0,31,3,3,25,8,3,7,2.3941726234967,NA,NA
"20",38,0,"Travel_Rarely",371,"Research & Development",2,3,"Life Sciences",24,4,"Male",45,3,1,"Research Scientist",4,3944,4306,5,"Yes",11,3,3,80,0,6,3,3,3,2,1,2,NA,"Campus","State"
"21",24,0,"Non-Travel",673,"Research & Development",11,2,"Other",26,1,"Female",96,4,2,"Manufacturing Director",3,4011,8232,0,"No",18,3,4,80,1,5,5,2,4,2,1,3,NA,"Applied Online",NA
"22",36,1,"Travel_Rarely",1218,"Sales",9,4,"Life Sciences",27,3,"Male",82,2,1,"Sales Representative",1,3407,6986,7,"No",23,2,2,80,0,10,4,3,5,3,0,3,0.497530207481522,"Campus","Northern"
"23",34,0,"Travel_Rarely",419,"Research & Development",7,4,"Life Sciences",28,1,"Female",53,3,3,"Research Director",2,11994,21293,0,"No",11,2,3,80,0,13,4,3,12,6,2,11,NA,NA,NA
"24",21,0,"Travel_Rarely",391,"Research & Development",15,2,"Life Sciences",30,3,"Male",96,3,1,"Research Scientist",4,1232,19281,1,"No",14,2,4,80,0,0,6,3,0,0,0,0,NA,"Applied Online",NA
"25",34,1,"Travel_Rarely",699,"Research & Development",6,1,"Medical",31,2,"Male",83,3,1,"Research Scientist",1,2960,17102,2,"No",11,2,3,80,0,8,2,3,4,2,1,3,NA,"Applied Online",NA
"26",53,0,"Travel_Rarely",1282,"Research & Development",5,3,"Other",32,3,"Female",58,3,5,"Manager",3,19094,10735,4,"No",11,3,4,80,1,26,3,2,14,13,4,8,NA,NA,NA
"27",32,1,"Travel_Frequently",1125,"Research & Development",16,1,"Life Sciences",33,2,"Female",72,1,1,"Research Scientist",1,3919,4681,1,"Yes",22,2,2,80,0,10,5,3,10,2,6,7,NA,NA,NA
"28",42,0,"Travel_Rarely",691,"Sales",8,4,"Marketing",35,3,"Male",48,3,2,"Sales Executive",2,6825,21173,0,"No",11,2,4,80,1,10,2,3,9,7,4,2,2.51395773074528,NA,NA
"29",44,0,"Travel_Rarely",477,"Research & Development",7,4,"Medical",36,1,"Female",42,2,3,"Healthcare Representative",4,10248,2094,3,"No",14,3,4,80,1,24,4,3,22,6,5,17,NA,NA,NA
"30",46,0,"Travel_Rarely",705,"Sales",2,4,"Marketing",38,2,"Female",83,3,5,"Manager",1,18947,22822,3,"No",12,3,4,80,0,22,2,2,2,2,2,1,1.42478876463002,"Applied Online",NA
"31",33,0,"Travel_Rarely",924,"Research & Development",2,3,"Medical",39,3,"Male",78,3,1,"Laboratory Technician",4,2496,6670,4,"No",11,2,4,80,0,7,3,3,1,1,0,0,NA,"Applied Online",NA
"32",44,0,"Travel_Rarely",1459,"Research & Development",10,4,"Other",40,4,"Male",41,3,2,"Healthcare Representative",4,6465,19121,2,"Yes",13,3,4,80,0,9,5,4,4,2,1,3,NA,"Campus","Tech"
"33",30,0,"Travel_Rarely",125,"Research & Development",9,2,"Medical",41,4,"Male",83,2,1,"Laboratory Technician",3,2206,16117,1,"No",13,3,1,80,0,10,5,3,10,0,1,8,NA,NA,NA
"34",39,1,"Travel_Rarely",895,"Sales",5,3,"Technical Degree",42,4,"Male",56,3,2,"Sales Representative",4,2086,3335,3,"No",14,3,3,80,1,19,6,4,1,0,0,0,0.548123240185223,"Referral",NA
"35",24,1,"Travel_Rarely",813,"Research & Development",1,3,"Medical",45,2,"Male",61,3,1,"Research Scientist",4,2293,3020,2,"Yes",16,2,1,80,1,6,2,2,2,0,2,0,NA,"Referral",NA
"36",43,0,"Travel_Rarely",1273,"Research & Development",2,2,"Medical",46,4,"Female",72,4,1,"Research Scientist",3,2645,21923,1,"No",12,2,4,80,2,6,3,2,5,3,1,4,NA,"Campus","A&M"
"37",50,1,"Travel_Rarely",869,"Sales",3,2,"Marketing",47,1,"Male",86,2,1,"Sales Representative",3,2683,3810,1,"Yes",14,3,3,80,0,3,2,3,3,2,0,2,0.79421347935228,"Applied Online",NA
"38",35,0,"Travel_Rarely",890,"Sales",2,3,"Marketing",49,4,"Female",97,3,1,"Sales Representative",4,2014,9687,1,"No",13,2,1,80,0,2,3,3,2,2,2,2,1.00652442339031,"Referral",NA
"39",36,0,"Travel_Rarely",852,"Research & Development",5,4,"Life Sciences",51,2,"Female",82,2,1,"Research Scientist",1,3419,13072,9,"Yes",14,3,4,80,1,6,3,4,1,1,0,0,NA,"Applied Online",NA
"40",33,0,"Travel_Frequently",1141,"Sales",1,3,"Life Sciences",52,3,"Female",42,4,2,"Sales Executive",1,5376,3193,2,"No",19,3,1,80,2,10,3,3,5,3,1,3,1.51991728837959,"Campus","Tech"
"41",35,0,"Travel_Rarely",464,"Research & Development",4,2,"Other",53,3,"Male",75,3,1,"Laboratory Technician",4,1951,10910,1,"No",12,4,3,80,1,1,3,3,1,0,0,0,NA,"Applied Online",NA
"42",27,0,"Travel_Rarely",1240,"Research & Development",2,4,"Life Sciences",54,4,"Female",33,3,1,"Laboratory Technician",1,2341,19715,1,"No",13,2,4,80,1,1,6,3,1,0,0,0,NA,"Applied Online",NA
"43",26,1,"Travel_Rarely",1357,"Research & Development",25,3,"Life Sciences",55,1,"Male",48,1,1,"Laboratory Technician",3,2293,10558,1,"No",12,2,3,80,0,1,2,2,1,0,0,1,NA,"Applied Online",NA
"44",27,0,"Travel_Frequently",994,"Sales",8,3,"Life Sciences",56,4,"Male",37,3,3,"Sales Executive",3,8726,2975,1,"No",15,3,4,80,0,9,0,3,9,8,1,7,2.07352786583621,NA,NA
"45",30,0,"Travel_Frequently",721,"Research & Development",1,2,"Medical",57,3,"Female",58,3,2,"Laboratory Technician",4,4011,10781,1,"No",23,2,4,80,0,12,2,3,12,8,3,7,NA,NA,NA
"46",41,1,"Travel_Rarely",1360,"Research & Development",12,3,"Technical Degree",58,2,"Female",49,3,5,"Research Director",3,19545,16280,1,"No",12,3,4,80,0,23,0,3,22,15,15,8,NA,NA,NA
"47",34,0,"Non-Travel",1065,"Sales",23,4,"Marketing",60,2,"Male",72,3,2,"Sales Executive",3,4568,10034,0,"No",20,3,3,80,0,10,2,3,9,5,8,7,2.18980255898962,NA,NA
"48",37,0,"Travel_Rarely",408,"Research & Development",19,2,"Life Sciences",61,2,"Male",73,3,1,"Research Scientist",2,3022,10227,4,"No",21,3,1,80,0,8,1,3,1,0,0,0,NA,"Applied Online",NA
"49",46,0,"Travel_Frequently",1211,"Sales",5,4,"Marketing",62,1,"Male",98,3,2,"Sales Executive",4,5772,20445,4,"Yes",21,2,3,80,0,14,4,3,9,6,0,8,0.276887239495533,NA,NA
"50",35,0,"Travel_Rarely",1229,"Research & Development",8,1,"Life Sciences",63,4,"Male",36,4,1,"Laboratory Technician",4,2269,4892,1,"No",19,3,4,80,0,1,2,3,1,0,0,1,NA,"Referral",NA
"51",48,1,"Travel_Rarely",626,"Research & Development",1,2,"Life Sciences",64,1,"Male",98,2,3,"Laboratory Technician",3,5381,19294,9,"Yes",13,3,4,80,0,23,2,3,1,0,0,0,NA,"Referral",NA
"52",28,1,"Travel_Rarely",1434,"Research & Development",5,4,"Technical Degree",65,3,"Male",50,3,1,"Laboratory Technician",3,3441,11179,1,"Yes",13,3,3,80,0,2,3,2,2,2,2,2,NA,"Referral",NA
"53",44,0,"Travel_Rarely",1488,"Sales",1,5,"Marketing",68,2,"Female",75,3,2,"Sales Executive",1,5454,4009,5,"Yes",21,4,3,80,1,9,2,2,4,3,1,3,0.860352798179383,"Campus","A&M"
"54",35,0,"Non-Travel",1097,"Research & Development",11,2,"Medical",70,3,"Male",79,2,3,"Healthcare Representative",1,9884,8302,2,"Yes",13,4,3,80,1,10,3,3,4,0,2,3,NA,"Campus","Northern"
"55",26,0,"Travel_Rarely",1443,"Sales",23,3,"Marketing",72,3,"Female",47,2,2,"Sales Executive",4,4157,21436,7,"Yes",19,3,3,80,1,5,2,2,2,2,0,0,0.362379477114263,"Applied Online",NA
"56",33,0,"Travel_Frequently",515,"Research & Development",1,2,"Life Sciences",73,1,"Female",98,3,3,"Research Director",4,13458,15146,1,"Yes",12,3,3,80,0,15,1,3,15,14,8,12,NA,NA,NA
"57",35,0,"Travel_Frequently",853,"Sales",18,5,"Life Sciences",74,2,"Male",71,3,3,"Sales Executive",1,9069,11031,1,"No",22,2,4,80,1,9,3,2,9,8,1,8,1.2593647928833,NA,NA
"58",35,0,"Travel_Rarely",1142,"Research & Development",23,4,"Medical",75,3,"Female",30,3,1,"Laboratory Technician",1,4014,16002,3,"Yes",15,3,3,80,1,4,3,3,2,2,2,2,NA,"Campus","Tech"
"59",31,0,"Travel_Rarely",655,"Research & Development",7,4,"Life Sciences",76,4,"Male",48,3,2,"Laboratory Technician",4,5915,9528,3,"No",22,3,4,80,1,10,3,2,7,7,1,7,NA,NA,NA
"60",37,0,"Travel_Rarely",1115,"Research & Development",1,4,"Life Sciences",77,1,"Male",51,2,2,"Manufacturing Director",3,5993,2689,1,"No",18,3,3,80,1,7,2,4,7,5,0,7,NA,NA,NA
"61",32,0,"Travel_Rarely",427,"Research & Development",1,3,"Medical",78,1,"Male",33,3,2,"Manufacturing Director",4,6162,10877,1,"Yes",22,2,2,80,1,9,3,3,9,8,7,8,NA,NA,NA
"62",38,0,"Travel_Frequently",653,"Research & Development",29,5,"Life Sciences",79,4,"Female",50,3,2,"Laboratory Technician",4,2406,5456,1,"No",11,3,4,80,0,10,2,3,10,3,9,9,NA,NA,NA
"63",50,0,"Travel_Rarely",989,"Research & Development",7,2,"Medical",80,2,"Female",43,2,5,"Research Director",3,18740,16701,5,"Yes",12,2,4,80,1,29,2,2,27,3,13,8,NA,NA,NA
"64",59,0,"Travel_Rarely",1435,"Sales",25,3,"Life Sciences",81,1,"Female",99,3,3,"Sales Executive",1,7637,2354,7,"No",11,3,4,80,0,28,3,2,21,16,7,9,1.63520472922274,NA,NA
"65",36,0,"Travel_Rarely",1223,"Research & Development",8,3,"Technical Degree",83,3,"Female",59,3,3,"Healthcare Representative",3,10096,8202,1,"No",13,4,2,80,3,17,2,3,17,14,12,8,NA,NA,NA
"66",55,0,"Travel_Rarely",836,"Research & Development",8,3,"Medical",84,4,"Female",33,3,4,"Manager",3,14756,19730,2,"Yes",14,4,3,80,3,21,2,3,5,0,0,2,NA,"Referral",NA
"67",36,0,"Travel_Frequently",1195,"Research & Development",11,3,"Life Sciences",85,2,"Male",95,2,2,"Manufacturing Director",2,6499,22656,1,"No",13,3,3,80,0,6,3,3,6,5,0,3,NA,"Applied Online",NA
"68",45,0,"Travel_Rarely",1339,"Research & Development",7,3,"Life Sciences",86,2,"Male",59,3,3,"Research Scientist",1,9724,18787,2,"No",17,3,3,80,1,25,2,3,1,0,0,0,NA,"Campus","Tech"
"69",35,0,"Travel_Frequently",664,"Research & Development",1,3,"Medical",88,2,"Male",79,3,1,"Research Scientist",1,2194,5868,4,"No",13,3,4,80,1,5,2,2,3,2,1,2,NA,"Campus","State"
"70",36,1,"Travel_Rarely",318,"Research & Development",9,3,"Medical",90,4,"Male",79,2,1,"Research Scientist",3,3388,21777,0,"Yes",17,2,1,80,1,2,0,2,1,0,0,0,NA,"Search Firm",NA
"71",59,0,"Travel_Frequently",1225,"Sales",1,1,"Life Sciences",91,1,"Female",57,2,2,"Sales Executive",3,5473,24668,7,"No",11,3,4,80,0,20,2,2,4,3,1,3,2.47143293965635,"Applied Online",NA
"72",29,0,"Travel_Rarely",1328,"Research & Development",2,3,"Life Sciences",94,3,"Male",76,3,1,"Research Scientist",2,2703,4956,0,"No",23,2,4,80,1,6,3,3,5,4,0,4,NA,"Campus","A&M"
"73",31,0,"Travel_Rarely",1082,"Research & Development",1,4,"Medical",95,3,"Male",87,3,1,"Research Scientist",2,2501,18775,1,"No",17,2,2,80,0,1,4,3,1,1,1,0,NA,"Applied Online",NA
"74",32,0,"Travel_Rarely",548,"Research & Development",1,3,"Life Sciences",96,2,"Male",66,3,2,"Research Scientist",2,6220,7346,1,"No",17,3,2,80,2,10,3,3,10,4,0,9,NA,NA,NA
"75",36,0,"Travel_Rarely",132,"Research & Development",6,3,"Life Sciences",97,2,"Female",55,4,1,"Laboratory Technician",4,3038,22002,3,"No",12,2,2,80,0,5,3,3,1,0,0,0,NA,"Campus","State"
"76",31,0,"Travel_Rarely",746,"Research & Development",8,4,"Life Sciences",98,3,"Female",61,3,2,"Manufacturing Director",4,4424,20682,1,"No",23,4,4,80,0,11,2,3,11,7,1,8,NA,NA,NA
"77",35,0,"Travel_Rarely",776,"Sales",1,4,"Marketing",100,3,"Male",32,2,2,"Sales Executive",1,4312,23016,0,"No",14,2,2,80,0,16,2,3,15,13,2,8,1.88928254301117,NA,NA
"78",45,0,"Travel_Rarely",193,"Research & Development",6,4,"Other",101,4,"Male",52,3,3,"Research Director",1,13245,15067,4,"Yes",14,3,2,80,0,17,3,4,0,0,0,0,NA,"Applied Online",NA
"79",37,0,"Travel_Rarely",397,"Research & Development",7,4,"Medical",102,1,"Male",30,3,3,"Research Director",3,13664,25258,4,"No",13,2,1,80,0,16,3,4,5,2,0,2,NA,"Search Firm",NA
"80",46,0,"Travel_Rarely",945,"Human Resources",5,2,"Medical",103,2,"Male",80,3,2,"Human Resources",2,5021,10425,8,"Yes",22,4,4,80,1,16,2,3,4,2,0,2,NA,"Referral",NA
"81",30,0,"Travel_Rarely",852,"Research & Development",1,1,"Life Sciences",104,4,"Male",55,2,2,"Laboratory Technician",4,5126,15998,1,"Yes",12,3,3,80,2,10,1,2,10,8,3,0,NA,NA,NA
"82",35,0,"Travel_Rarely",1214,"Research & Development",1,3,"Medical",105,2,"Male",30,2,1,"Research Scientist",3,2859,26278,1,"No",18,3,1,80,0,6,3,3,6,4,0,4,NA,"Campus","State"
"83",55,0,"Travel_Rarely",111,"Sales",1,2,"Life Sciences",106,1,"Male",70,3,3,"Sales Executive",4,10239,18092,3,"No",14,3,4,80,1,24,4,3,1,0,1,0,0.313105850470812,"Campus","State"
"84",38,0,"Non-Travel",573,"Research & Development",6,3,"Medical",107,2,"Female",79,1,2,"Research Scientist",4,5329,15717,7,"Yes",12,3,4,80,3,17,3,3,13,11,1,9,NA,NA,NA
"85",34,0,"Travel_Rarely",1153,"Research & Development",1,2,"Medical",110,1,"Male",94,3,2,"Manufacturing Director",2,4325,17736,1,"No",15,3,3,80,0,5,2,3,5,2,1,3,NA,"Campus","Tech"
"86",56,0,"Travel_Rarely",1400,"Research & Development",7,3,"Life Sciences",112,4,"Male",49,1,3,"Manufacturing Director",4,7260,21698,4,"No",11,3,1,80,0,37,3,2,6,4,0,2,NA,"Referral",NA
"87",23,0,"Travel_Rarely",541,"Sales",2,1,"Technical Degree",113,3,"Male",62,3,1,"Sales Representative",1,2322,9518,3,"No",13,3,3,80,1,3,3,3,0,0,0,0,0.0848949071148668,"Applied Online",NA
"88",51,0,"Travel_Rarely",432,"Research & Development",9,4,"Life Sciences",116,4,"Male",96,3,1,"Laboratory Technician",4,2075,18725,3,"No",23,4,2,80,2,10,4,3,4,2,0,3,NA,"Referral",NA
"89",30,0,"Travel_Rarely",288,"Research & Development",2,3,"Life Sciences",117,3,"Male",99,2,2,"Healthcare Representative",4,4152,15830,1,"No",19,2,1,80,3,11,3,3,11,10,10,8,NA,NA,NA
"90",46,1,"Travel_Rarely",669,"Sales",9,2,"Medical",118,3,"Male",64,2,3,"Sales Executive",4,9619,13596,1,"No",16,3,4,80,0,9,3,3,9,8,4,7,0.294166238308207,NA,NA
"91",40,0,"Travel_Frequently",530,"Research & Development",1,4,"Life Sciences",119,3,"Male",78,2,4,"Healthcare Representative",2,13503,14115,1,"No",22,3,4,80,1,22,3,2,22,3,11,11,NA,NA,NA
"92",51,0,"Travel_Rarely",632,"Sales",21,4,"Marketing",120,3,"Male",71,3,2,"Sales Executive",4,5441,8423,0,"Yes",22,3,4,80,0,11,2,1,10,7,1,0,1.04776703895628,NA,NA
"93",30,0,"Travel_Rarely",1334,"Sales",4,2,"Medical",121,3,"Female",63,2,2,"Sales Executive",2,5209,19760,1,"Yes",12,3,2,80,3,11,4,2,11,8,2,7,0.297146809061811,NA,NA
"94",46,0,"Travel_Frequently",638,"Research & Development",1,3,"Medical",124,3,"Male",40,2,3,"Healthcare Representative",1,10673,3142,2,"Yes",13,4,3,80,1,21,5,2,10,9,9,5,NA,NA,NA
"95",32,0,"Travel_Rarely",1093,"Sales",6,4,"Medical",125,2,"Male",87,3,2,"Sales Executive",3,5010,24301,1,"No",16,3,1,80,0,12,0,3,11,8,5,7,0.08981124894927,NA,NA
"96",54,0,"Travel_Rarely",1217,"Research & Development",2,4,"Technical Degree",126,1,"Female",60,3,3,"Research Director",3,13549,24001,9,"No",12,2,1,80,1,16,5,1,4,3,0,3,NA,"Search Firm",NA
"97",24,0,"Travel_Rarely",1353,"Sales",3,2,"Other",128,1,"Female",33,3,2,"Sales Executive",3,4999,17519,0,"No",21,2,1,80,1,4,2,2,3,2,0,2,1.94249925467926,"Applied Online",NA
"98",28,0,"Non-Travel",120,"Sales",4,3,"Medical",129,2,"Male",43,3,2,"Sales Executive",3,4221,8863,1,"No",15,3,2,80,0,5,3,4,5,4,0,4,0.988873487102549,"Referral",NA
"99",58,0,"Travel_Rarely",682,"Sales",10,4,"Medical",131,4,"Male",37,3,4,"Sales Executive",3,13872,24409,0,"No",13,3,3,80,0,38,1,2,37,10,1,8,1.42618027782441,NA,NA
"100",44,0,"Non-Travel",489,"Research & Development",23,3,"Medical",132,2,"Male",67,3,2,"Laboratory Technician",2,2042,25043,4,"No",12,4,3,80,1,17,3,4,3,2,1,2,NA,"Applied Online",NA
"101",37,1,"Travel_Rarely",807,"Human Resources",6,4,"Human Resources",133,3,"Male",63,3,1,"Human Resources",1,2073,23648,4,"Yes",22,2,4,80,0,7,3,3,3,2,0,2,NA,"Applied Online",NA
"102",32,0,"Travel_Rarely",827,"Research & Development",1,1,"Life Sciences",134,4,"Male",71,3,1,"Research Scientist",1,2956,15178,1,"No",13,3,4,80,0,1,2,3,1,0,0,0,NA,"Applied Online",NA
"103",20,1,"Travel_Frequently",871,"Research & Development",6,3,"Life Sciences",137,4,"Female",66,2,1,"Laboratory Technician",4,2926,19783,1,"Yes",18,2,2,80,0,1,5,3,1,0,1,0,NA,"Applied Online",NA
"104",34,0,"Travel_Rarely",665,"Research & Development",6,4,"Other",138,1,"Female",41,3,2,"Research Scientist",3,4809,12482,1,"No",14,3,3,80,0,16,3,3,16,13,2,10,NA,NA,NA
"105",37,0,"Non-Travel",1040,"Research & Development",2,2,"Life Sciences",139,3,"Male",100,2,2,"Healthcare Representative",4,5163,15850,5,"No",14,3,4,80,1,17,2,4,1,0,0,0,NA,"Campus","Northern"
"106",59,0,"Non-Travel",1420,"Human Resources",2,4,"Human Resources",140,3,"Female",32,2,5,"Manager",4,18844,21922,9,"No",21,3,4,80,1,30,3,3,3,2,2,2,NA,"Campus","A&M"
"107",50,0,"Travel_Frequently",1115,"Research & Development",1,3,"Life Sciences",141,1,"Female",73,3,5,"Research Director",2,18172,9755,3,"Yes",19,3,1,80,0,28,1,2,8,3,0,7,NA,NA,NA
"108",25,1,"Travel_Rarely",240,"Sales",5,3,"Marketing",142,3,"Male",46,2,2,"Sales Executive",3,5744,26959,1,"Yes",11,2,4,80,0,6,1,3,6,4,0,3,1.86793884863751,"Campus","Tech"
"109",25,0,"Travel_Rarely",1280,"Research & Development",7,1,"Medical",143,4,"Male",64,2,1,"Research Scientist",4,2889,26897,1,"No",11,4,3,80,2,2,2,3,2,2,2,1,NA,"Applied Online",NA
"110",22,0,"Travel_Rarely",534,"Research & Development",15,3,"Medical",144,2,"Female",59,3,1,"Laboratory Technician",4,2871,23785,1,"No",15,4,3,80,0,1,5,3,0,0,0,0,NA,"Search Firm",NA
"111",51,0,"Travel_Frequently",1456,"Research & Development",1,4,"Medical",145,1,"Female",30,2,3,"Healthcare Representative",1,7484,25796,3,"No",20,2,3,80,0,23,1,2,13,12,12,8,NA,NA,NA
"112",34,1,"Travel_Frequently",658,"Research & Development",7,3,"Life Sciences",147,1,"Male",66,1,2,"Laboratory Technician",3,6074,22887,1,"Yes",24,4,4,80,0,9,3,3,9,7,0,6,NA,NA,NA
"113",54,0,"Non-Travel",142,"Human Resources",26,3,"Human Resources",148,4,"Female",30,4,4,"Manager",4,17328,13871,2,"Yes",12,3,3,80,0,23,3,3,5,3,4,4,NA,"Applied Online",NA
"114",24,0,"Travel_Rarely",1127,"Research & Development",18,1,"Life Sciences",150,2,"Male",52,3,1,"Laboratory Technician",3,2774,13257,0,"No",12,3,3,80,1,6,2,3,5,3,1,2,NA,"Applied Online",NA
"115",34,0,"Travel_Rarely",1031,"Research & Development",6,4,"Life Sciences",151,3,"Female",45,2,2,"Research Scientist",2,4505,15000,6,"No",15,3,3,80,1,12,3,3,1,0,0,0,NA,"Campus","A&M"
"116",37,0,"Travel_Rarely",1189,"Sales",3,3,"Life Sciences",152,3,"Male",87,3,3,"Sales Executive",4,7428,14506,2,"No",12,3,1,80,0,12,3,3,5,3,1,3,1.21899645422093,"Campus","Tech"
"117",34,0,"Travel_Rarely",1354,"Research & Development",5,3,"Medical",153,3,"Female",45,2,3,"Manager",1,11631,5615,2,"No",12,4,4,80,0,14,6,3,11,10,5,8,NA,NA,NA
"118",36,0,"Travel_Frequently",1467,"Sales",11,2,"Technical Degree",154,2,"Female",92,3,3,"Sales Executive",4,9738,22952,0,"No",14,3,3,80,1,10,6,3,9,7,2,8,1.2325045841071,NA,NA
"119",36,0,"Travel_Rarely",922,"Research & Development",3,2,"Life Sciences",155,1,"Female",39,3,1,"Laboratory Technician",4,2835,2561,5,"No",22,4,1,80,1,7,2,3,1,0,0,0,NA,"Applied Online",NA
"120",43,0,"Travel_Frequently",394,"Sales",26,2,"Life Sciences",158,3,"Male",92,3,4,"Manager",4,16959,19494,1,"Yes",12,3,4,80,2,25,3,4,25,12,4,12,1.28103245490775,NA,NA
"121",30,0,"Travel_Frequently",1312,"Research & Development",23,3,"Life Sciences",159,1,"Male",96,1,1,"Research Scientist",3,2613,22310,1,"No",25,3,3,80,3,10,2,2,10,7,0,9,NA,NA,NA
"122",33,0,"Non-Travel",750,"Sales",22,2,"Marketing",160,3,"Male",95,3,2,"Sales Executive",2,6146,15480,0,"No",13,3,1,80,1,8,2,4,7,7,0,7,1.8827515179379,NA,NA
"123",56,1,"Travel_Rarely",441,"Research & Development",14,4,"Life Sciences",161,2,"Female",72,3,1,"Research Scientist",2,4963,4510,9,"Yes",18,3,1,80,3,7,2,3,5,4,4,3,NA,"Campus","A&M"
