"role","perf","area","sex","id","age","salary","vol_leave"
"Director",3,"Accounting","Female",73,51.1688635222289,113088.049356308,1
"Director",3,"Sales","Male",24,50.2289451981825,234016.733790497,0
"Director",3,"Other","Female",83,54.0576637098558,236015.246096483,0
"Director",3,"Sales","Male",94,54.1306716076132,177308.991027653,1
"Director",3,"Accounting","Male",84,52.0996306490843,122980.85878428,0
"Director",2,"Sales","Male",107,61.5807191315557,168100.397086316,1
"Director",2,"Accounting","Female",51,54.149134393507,161703.064505533,1
"Director",2,"Marketing","Female",67,54.8327999949927,230742.341382352,0
"Director",3,"Finance","Female",52,46.7810861388159,199341.936358347,0
"Director",3,"Other","Female",59,51.9403766319349,222709.027842929,0
"Director",2,"Accounting","Female",53,56.2981276448194,219169.878885415,0
"Director",2,"Accounting","Female",19,48.8645642497373,245091.670033442,0
"Director",2,"Marketing","Female",82,53.611814459779,173271.058775731,0
"Director",2,"Marketing","Female",79,49.5174844737423,268672.694565131,0
"Director",2,"Accounting","Male",54,47.5792186832017,166320.265545644,0
"Director",2,"Sales","Female",55,51.9284984938302,213579.898132872,0
"Director",3,"Accounting","Male",57,56.6960059162547,261955.060770874,0
"Director",2,"Finance","Male",23,52.8073890879827,200143.987610518,0
"Director",2,"Marketing","Female",110,50.6832851186248,177906.232355824,1
"Director",2,"Other","Male",17,58.0349882346223,206725.047220789,0
"Director",3,"Sales","Female",58,51.5303640021476,273953.546386372,1
"Director",2,"Other","Female",18,49.6139070349921,237038.085161134,0
"Director",2,"Finance","Male",30,50.5508003001271,289240.707042094,0
"Director",2,"Other","Female",15,49.302648115407,244182.514684482,0
"Director",3,"Other","Female",33,49.1399875453471,232702.616734493,0
"Director",1,"Sales","Male",16,52.7327902811568,192420.343770901,0
"Director",2,"Marketing","Male",34,49.952269963471,199198.722365739,0
"Director",1,"Sales","Male",36,54.9052578041338,224593.136765893,0
"Director",2,"Sales","Male",100,47.1130529481786,224702.167582067,0
"Director",3,"Other","Male",64,46.5772238848767,246232.405887669,0
"Director",2,"Sales","Female",27,51.5155549314716,177161.077110048,1
"Director",2,"Sales","Male",68,49.0516120305445,187865.747951628,1
"Director",2,"Marketing","Female",78,58.6918992568033,241937.943799414,0
"Director",2,"Other","Male",56,51.6511266965317,270090.615202748,0
"Director",3,"Sales","Female",37,47.70201397417,134154.425836131,1
"Director",2,"Sales","Male",46,50.512417985361,253412.593003379,0
"Director",2,"Other","Male",61,52.7164365761624,252507.918374648,0
"Director",3,"Other","Female",75,48.403689310258,141786.043739306,0
"Director",3,"Other","Male",106,60.1194524389611,201972.631830408,0
"Director",2,"Sales","Male",13,48.558038891477,179699.440957077,0
"Director",2,"Sales","Female",26,52.8836783481338,175906.645870765,1
"Director",2,"Marketing","Male",21,53.1779551882695,173223.83043347,1
"Director",2,"Finance","Male",86,61.6713216564734,193030.351108442,0
"Director",3,"Sales","Male",62,49.4366633822887,189965.311941714,1
"Director",3,"Marketing","Male",20,53.0936983336603,216861.143465762,1
"Director",2,"Sales","Male",12,48.3792008687674,183572.802687522,0
"Director",2,"Accounting","Female",93,53.0712854849844,173108.339827261,0
"Director",2,"Other","Female",38,52.5827546812814,201263.055817164,0
"Director",3,"Accounting","Female",42,50.8316586104817,245608.702417474,1
"Director",2,"Sales","Male",99,45.8138688187871,232403.9565344,0
"Ind",1,"Sales","Female",10312,32.3499648060166,61998.9390378303,0
"Ind",1,"Other","Female",7591,28.2474534105502,59271.3527221426,1
"Ind",1,"Accounting","Female",1834,25.449810334379,59960.8064207213,1
"Ind",1,"Marketing","Male",2922,25.309337493245,61628.7749535896,0
"Ind",1,"Finance","Male",4330,24.8524618802672,52753.9615155738,0
"Ind",1,"Finance","Female",9121,29.5132980777555,59832.280964221,1
"Ind",1,"Sales","Female",1587,22.4384450346917,66772.1976806818,1
"Ind",1,"Sales","Male",2239,24.2032972891069,56134.5238861227,0
"Ind",1,"Sales","Male",8696,27.3160727420475,51564.5174317459,0
"Ind",1,"Finance","Male",9098,22.1927447962093,64797.724553904,0
"Ind",1,"Sales","Female",4303,27.6380526459489,57405.9009255005,1
"Ind",1,"Finance","Female",5967,24.6509246601192,50659.9831081124,1
"Ind",1,"Sales","Female",3061,24.6121559294178,62901.3258642494,0
"Ind",1,"Sales","Male",10091,26.9208627778993,57847.2447415628,1
"Ind",1,"Marketing","Male",8223,31.983344518715,63075.9259605587,0
"Ind",1,"Finance","Male",1601,22.7640432466862,56391.7638003423,0
"Ind",1,"Finance","Male",3034,24.9882185333631,62602.8434888835,0
"Ind",1,"Marketing","Male",7787,28.1317249987718,54762.425143164,0
"Ind",1,"Accounting","Male",3450,25.8926107441033,60661.0215785924,0
"Ind",1,"Finance","Female",3009,23.9658836638152,57893.4425717342,0
"Ind",1,"Finance","Female",7791,25.8487016492006,63283.5274724658,0
"Ind",1,"Sales","Female",4296,23.6839373775763,65651.4020142045,1
"Ind",2,"Finance","Female",9424,24.8654441909175,62837.5630642593,0
"Ind",2,"Finance","Female",2135,29.5827757528398,55979.3121134744,0
"Ind",1,"Accounting","Male",7798,22.2094700645615,57718.3186023348,1
"Ind",1,"Sales","Male",4282,23.4834161986764,73068.244059489,1
"Ind",1,"Sales","Female",2090,22.942743169084,65316.871456129,1
"Ind",1,"Accounting","Female",2720,25.107517087977,65003.6325412861,1
"Ind",1,"Finance","Female",9174,25.0789337969322,58928.5555670878,0
"Ind",1,"Finance","Female",5011,27.379107371509,55234.2109210113,1
"Ind",1,"Sales","Female",7294,23.5847645658529,53175.313441561,0
"Ind",1,"Marketing","Male",5478,26.1096959135883,60379.979013786,0
"Ind",1,"Finance","Female",3545,29.6429085990694,58290.1353500888,0
"Ind",2,"Marketing","Male",5742,23.2238365765381,59416.9674429767,1
"Ind",1,"Accounting","Female",2242,29.0206632561775,70778.6014265507,0
"Ind",2,"Marketing","Male",5624,23.8926090463189,50211.8109584501,1
"Ind",2,"Finance","Male",10672,32.6435808044898,55014.1467496812,0
"Ind",2,"Other","Female",10822,25.1637539284385,67387.7539213504,0
"Ind",1,"Marketing","Male",5388,25.7315148386303,69228.1274312366,0
"Ind",1,"Finance","Female",6393,25.9050889484283,57926.7708563893,0
"Ind",1,"Marketing","Female",7678,24.8679732621124,56523.6570801698,1
"Ind",1,"Other","Female",5692,30.0159062161657,61558.9811043092,0
"Ind",1,"Accounting","Female",2011,22.6356675868999,67860.706955832,1
"Ind",1,"Sales","Female",11083,27.7670427268722,56673.3012436692,1
"Ind",1,"Accounting","Female",7835,23.6370877524519,60438.1232163825,0
"Ind",1,"Finance","Male",1556,26.115932704954,60612.3300760461,0
"Ind",2,"Finance","Male",2342,27.720556987627,60621.5942141456,0
"Ind",1,"Accounting","Female",1545,26.4055740322332,62664.9146982403,0
"Ind",2,"Marketing","Male",10684,24.897804643249,68048.438878718,0
"Ind",1,"Accounting","Female",8825,23.3865764596368,64317.0061063552,0
"Ind",1,"Marketing","Female",8360,25.5029012932113,56618.1508858354,0
"Ind",1,"Sales","Male",9384,27.7292549633936,52809.8708722692,0
"Ind",1,"Accounting","Male",9337,30.7502763869393,56251.4279999056,0
"Ind",1,"Finance","Male",7240,23.64278150199,63086.4564132699,0
"Ind",2,"Sales","Female",3596,23.0958978106714,66408.7192164601,1
"Ind",1,"Sales","Female",4265,24.0176234641947,50875.5488305729,1
"Ind",1,"Other","Female",1889,25.0356275294759,63257.2833975176,1
"Ind",1,"Sales","Female",7396,26.4560734597509,53468.9451502845,1
"Ind",1,"Sales","Female",4201,25.5880147549626,57232.1291859402,0
"Ind",1,"Marketing","Female",5678,25.2495915834622,60398.9152667751,0
"Ind",1,"Finance","Female",3919,23.5039162415913,50035.1972692066,0
"Ind",1,"Marketing","Female",5794,24.2486411169236,61722.5404481308,0
"Ind",1,"Finance","Male",3904,24.306802475667,62337.2201497711,0
"Ind",1,"Accounting","Male",1830,27.3127303438386,64007.3572625971,0
"Ind",1,"Sales","Female",5485,39.3800963450408,58898.6675009888,1
"Ind",1,"Sales","Male",3229,27.6046182254453,61087.5852431945,1
"Ind",1,"Accounting","Female",3797,25.3369516931386,55988.1116686121,0
"Ind",1,"Marketing","Female",9986,23.5778618287772,59216.1838771335,0
"Ind",1,"Finance","Male",4972,28.6045930537542,68735.7639691664,0
"Ind",1,"Marketing","Female",10148,24.4360744045124,53682.3224269819,1
"Ind",1,"Marketing","Male",5167,31.5766966799477,63324.257192135,0
"Ind",1,"Marketing","Male",4924,24.5813873848844,58797.0423360082,1
"Ind",1,"Sales","Female",1852,26.0100734663766,61534.5039400761,1
"Ind",2,"Finance","Male",4192,29.4007109219357,57161.5516361105,0
"Ind",1,"Finance","Male",4050,26.2720702734192,56280.0196379528,0
"Ind",1,"Marketing","Female",4927,34.4264221479273,55699.0367200838,1
"Ind",1,"Other","Male",2710,25.1062996750318,54659.5149999783,0
"Ind",1,"Other","Female",3432,22.8404294789561,53832.3388748201,0
"Ind",1,"Marketing","Female",1638,23.8891369963997,57201.0453279506,1
"Ind",1,"Accounting","Female",2375,23.5297502746784,63726.5738644499,1
"Ind",1,"Accounting","Male",6772,27.7676018153902,59095.1331195647,1
"Ind",1,"Sales","Male",3316,24.2886976111618,63232.88651711,1
"Ind",1,"Finance","Female",3144,23.6271342608184,51266.8248390262,0
"Ind",1,"Finance","Male",1173,25.4251998899529,56673.4154785817,0
"Ind",1,"Finance","Female",3094,24.1111416341447,65472.0056540696,0
"Ind",1,"Sales","Male",10273,26.6103244189887,56551.3706659684,1
"Ind",1,"Other","Female",5732,23.8310167323549,62474.9149204485,0
"Ind",1,"Finance","Female",9428,31.4630634094123,61800.9905914053,0
"Ind",1,"Marketing","Female",10246,22.922459610626,58259.0459861502,0
"Ind",2,"Sales","Male",8191,24.5750662470638,59108.1529530652,0
"Ind",1,"Finance","Male",7549,35.0273209419677,59400.7221448206,1
"Ind",1,"Finance","Male",7993,24.8175324471814,62550.0871664278,0
"Ind",1,"Other","Female",6443,24.3336650735777,64339.1400976852,0
"Ind",1,"Accounting","Male",10349,23.4589878689712,56849.1190787377,0
"Ind",2,"Marketing","Male",6411,27.6581469057158,61385.6792021425,1
"Ind",1,"Other","Female",7923,24.0260750744945,54853.6436543245,0
"Ind",1,"Accounting","Male",7045,29.7863614639847,62160.5935375237,0
"Ind",2,"Finance","Female",9375,23.3393051241646,57440.3499886812,0
"Ind",1,"Other","Male",2070,23.1813717491874,55783.9298324953,0
"Ind",1,"Finance","Male",5640,25.2781594131297,57643.3163120663,1
"Ind",1,"Finance","Male",1515,25.0712003871014,53891.5109240774,0
"Ind",1,"Marketing","Female",8805,24.0224233582973,49643.3735001163,1
"Ind",1,"Sales","Male",3328,25.6093027214798,57119.0856751236,0
"Ind",1,"Marketing","Female",10421,24.592241352679,53420.1944422508,1
"Ind",1,"Finance","Male",4523,27.4148730135478,61081.0145662111,0
"Ind",1,"Other","Female",10221,23.0479579178262,58801.7495400511,0
"Ind",2,"Other","Female",4122,28.9752873995247,58228.0032250928,0
"Ind",1,"Accounting","Male",10908,26.0632677838048,69672.9507686075,0
"Ind",1,"Marketing","Female",3168,25.700232067776,56824.9432437803,0
"Ind",1,"Sales","Male",1859,25.1563555981036,53021.7082957949,0
"Ind",2,"Sales","Female",5107,24.7947411383841,62635.7235176185,1
"Ind",1,"Marketing","Female",9149,24.1426155789064,60698.7913137163,0
"Ind",1,"Finance","Female",5833,23.9788990732333,51646.0709591669,0
"Ind",1,"Other","Female",4485,23.360730019928,57151.0498001228,0
"Ind",1,"Sales","Female",6589,28.6010864584749,67352.9165762481,1
"Ind",1,"Sales","Male",8029,24.2093234411393,59564.6697070202,0
"Ind",1,"Accounting","Female",6163,24.935703304407,54100.2602075019,1
"Ind",1,"Marketing","Female",2622,26.8467118035106,56026.6289414566,0
"Ind",1,"Accounting","Female",7665,24.8333887291928,65250.545210133,0
"Ind",1,"Other","Male",8061,22.7678239854639,67345.3987138727,0
"Ind",1,"Sales","Female",7556,22.5564771741039,60740.7951420931,1
"Ind",1,"Other","Male",3972,26.937931711869,48679.999766383,0
"Ind",1,"Finance","Female",3550,28.2225574691876,63610.4110398568,0
"Ind",1,"Marketing","Female",2185,22.9625826081585,63510.6253409524,0
"Ind",1,"Finance","Female",2766,28.5238329411514,51537.8483757211,0
"Ind",1,"Sales","Male",6165,27.7992285197386,59926.785914315,0
"Ind",1,"Finance","Female",6234,23.0326500019892,58108.5818231985,0
"Ind",1,"Other","Female",2868,22.7411093414943,64661.023350161,0
"Ind",1,"Accounting","Male",10731,24.8870363836834,59604.3691709407,0
"Ind",1,"Other","Female",2188,25.290269442686,65574.1925668531,0
"Ind",1,"Other","Female",8463,22.4065783570588,68054.8413681346,1
"Ind",1,"Finance","Male",7669,22.8728973195025,66869.2524653801,0
"Ind",1,"Sales","Female",8588,24.3346082245121,61896.1064855952,0
"Ind",1,"Sales","Female",4582,25.9050154725724,65741.9951494924,0
"Ind",2,"Finance","Male",6684,30.6136986833659,68612.9009195362,0
"Ind",1,"Sales","Female",1700,24.0418983136124,56299.9240557742,1
"Ind",1,"Other","Female",8188,26.3114503063428,57551.7930320989,0
"Ind",1,"Marketing","Male",5125,25.3852657314676,57891.9735849859,0
"Ind",1,"Other","Male",1185,28.4931068865111,61018.5849392603,0
"Ind",1,"Sales","Female",7831,26.5930095389882,61201.0257754088,1
"Ind",1,"Finance","Female",3241,23.9544086159786,59943.2091572502,1
"Ind",1,"Marketing","Female",4712,26.7441336570204,58583.0291242478,0
"Ind",1,"Accounting","Male",7895,27.706948953571,52409.4967247298,0
"Ind",1,"Other","Male",3765,25.2107986967568,46599.5017407676,0
"Ind",2,"Sales","Female",3958,24.516871250564,59919.3101595663,0
"Ind",1,"Accounting","Female",9635,27.8385620538271,73247.9981528047,0
"Ind",1,"Sales","Male",10855,25.3601134194211,59017.0558288828,0
"Ind",1,"Sales","Female",5749,26.0697104995271,59668.9758603978,1
"Ind",1,"Accounting","Male",1307,26.4403059747409,65198.3028066578,0
"Ind",1,"Marketing","Female",2694,28.1703308951685,59127.6714062952,1
"Ind",1,"Sales","Female",8003,23.0616513610446,60075.4347924523,1
"Ind",1,"Finance","Male",1616,25.4422385827702,54602.8760477812,1
"Ind",1,"Accounting","Male",2659,22.6860711845928,55870.1565614786,1
"Ind",1,"Accounting","Male",9463,23.702770319631,68204.9515270049,0
"Ind",2,"Finance","Male",8769,29.8371366839756,66294.4218395373,0
"Ind",1,"Sales","Male",7950,23.8471045870563,55197.3205892625,1
"Ind",1,"Marketing","Female",9222,24.427568405206,57308.9732712697,1
"Ind",1,"Sales","Female",7484,31.2313090438341,61919.7664082026,0
"Ind",1,"Finance","Male",4733,25.1474099931146,55746.643342207,0
"Ind",1,"Marketing","Female",10074,36.7853478868907,67412.8653295828,0
"Ind",1,"Marketing","Female",9877,28.512587852777,44806.2152922778,0
"Ind",1,"Marketing","Female",4233,27.4022736344573,51241.237982073,0
"Ind",1,"Marketing","Male",3504,23.8860748208042,58508.8998035532,1
"Ind",1,"Other","Male",3420,26.6683504987439,50613.3972427907,1
"Ind",1,"Other","Male",4839,28.1488337296,61710.6652611788,0
"Ind",1,"Finance","Male",8348,22.5835345629337,62237.6325080962,0
"Ind",1,"Finance","Female",7882,25.5604844191204,64779.7243496078,0
"Ind",1,"Other","Male",2046,25.8162017179107,64084.281410477,0
"Ind",2,"Other","Female",5250,24.368758288956,58691.0536667448,1
"Ind",1,"Sales","Female",5229,24.0200699128342,66720.1452865297,0
"Ind",1,"Sales","Female",7699,23.707784604572,54360.9294602048,1
"Ind",1,"Finance","Male",8793,23.7122269189364,63799.7983929034,0
"Ind",1,"Sales","Female",4502,26.4680534701391,62703.3268333773,0
"Ind",1,"Sales","Male",4444,27.1469911860449,61687.3103187374,0
"Ind",1,"Other","Female",9685,25.0384413540714,54378.6078719568,0
"Ind",1,"Sales","Female",3495,29.1894339633378,55314.0421496936,1
"Ind",2,"Finance","Male",5146,25.4622403372114,52028.4053807054,0
"Ind",1,"Finance","Male",10629,30.2664632234212,54784.6628413852,1
"Ind",1,"Sales","Male",10568,26.8298381102299,60684.3788537129,0
"Ind",1,"Sales","Female",5279,24.1701476830261,58389.3541317498,1
"Ind",1,"Marketing","Male",9920,26.5648266872944,65192.9191106884,0
"Ind",1,"Finance","Male",8445,25.1238837684072,62104.4179650389,0
"Ind",1,"Other","Male",7246,33.9420154626365,62803.2850128759,0
"Ind",1,"Other","Female",9590,24.9193756550292,57810.423492461,0
"Ind",1,"Sales","Female",7429,24.3639245103429,56738.4122786787,1
"Ind",1,"Other","Male",9026,25.1557016866548,62035.4382860653,0
"Ind",1,"Marketing","Female",2002,24.7223795782325,61589.7979227446,0
"Ind",1,"Other","Male",1741,23.3339866108329,60853.3010260473,1
"Ind",1,"Finance","Male",8372,29.0313162589189,60874.2027132835,0
"Ind",1,"Finance","Female",7826,24.9346818156779,61812.7758904664,0
"Ind",1,"Marketing","Male",1949,24.7281004826568,54252.5827763242,1
"Ind",1,"Sales","Male",2519,32.9142115937278,60923.2618653505,0
"Ind",1,"Sales","Female",2334,22.6876348341941,56098.8592923141,0
"Ind",1,"Accounting","Male",8410,29.750331551659,66790.8762575411,0
"Ind",1,"Sales","Female",1688,23.6531442498331,61227.3739104253,0
"Ind",1,"Accounting","Female",8952,25.7507088406469,63648.0347107878,0
"Ind",1,"Sales","Male",1913,27.6008789957866,59561.8101223509,1
"Ind",1,"Sales","Female",5375,23.1880503901406,54794.9857511392,1
"Ind",1,"Other","Female",3632,23.7758611852763,59928.6582803254,0
"Ind",1,"Sales","Female",9631,27.7985503771429,65966.5847079836,1
"Ind",1,"Finance","Female",10428,28.4881565173961,56788.4815984495,0
"Ind",1,"Marketing","Female",2187,22.83481906374,56016.798266257,1
"Ind",1,"Accounting","Female",3783,24.2827635904976,57742.5115972976,0
"Ind",1,"Finance","Male",10073,25.3555702609725,47004.318567609,0
"Ind",1,"Other","Female",2380,23.7221470274663,64784.7187192123,0
"Ind",1,"Finance","Female",10177,27.4638160123929,60177.9792088973,0
"Ind",1,"Other","Female",1659,23.1680538433763,62437.3942328474,0
"Ind",1,"Finance","Female",6827,24.3928337893217,58906.8623668175,0
"Ind",1,"Accounting","Male",9636,36.9381310157258,64591.6946207736,0
"Ind",2,"Finance","Female",4142,28.8804606849423,58158.4315918214,0
"Ind",1,"Sales","Female",8992,33.0579599371248,60383.3163124581,0
"Ind",1,"Sales","Male",5535,24.3431766845954,56478.3204251184,1
"Ind",1,"Sales","Male",3025,26.4020788509842,59878.0500257312,0
"Ind",1,"Accounting","Female",8607,23.1702313328795,63363.5228478325,0
"Ind",1,"Sales","Male",2664,24.1849393226568,58925.989943988,0
"Ind",1,"Finance","Female",7605,26.1598935429531,60521.6514641305,1
"Ind",1,"Finance","Male",6336,23.3751050545865,51215.5533390536,0
"Ind",1,"Sales","Female",5680,27.8432848182907,50113.2082741214,1
"Ind",1,"Marketing","Female",5111,25.1481668182777,53512.6230964743,0
"Ind",1,"Sales","Female",6654,23.020686951389,51647.029826354,1
"Ind",1,"Sales","Female",7423,26.7279488167316,59599.6014193915,0
"Ind",1,"Sales","Female",10017,22.5641856349629,66689.8289286919,0
"Ind",1,"Sales","Male",4415,26.2427346214538,58366.7581082505,0
"Ind",1,"Marketing","Female",3496,26.0327792912506,50654.0750073378,0
"Ind",1,"Finance","Female",4218,23.4722888826386,57629.9029674659,0
"Ind",1,"Finance","Male",2423,24.9105892516881,52971.0834233562,0
"Ind",1,"Marketing","Female",3984,24.3389877587407,56315.0410887141,1
"Ind",1,"Marketing","Female",8725,34.6328734053629,64403.4295307097,0
"Ind",1,"Marketing","Male",9276,27.8476042679393,59253.7595127054,0
"Ind",1,"Sales","Female",8688,23.8656228409612,47604.5911450905,1
"Ind",1,"Sales","Female",4318,25.2921851718699,58747.0638459843,0
"Ind",1,"Finance","Female",10173,29.525914706278,61243.2150283436,0
"Ind",1,"Marketing","Male",10616,22.2550413509552,62884.6821516254,0
"Ind",1,"Finance","Male",6357,25.7776233417836,56741.8332688442,0
"Ind",1,"Marketing","Female",6139,30.6206982546972,60045.1921259885,0
"Ind",1,"Sales","Male",9852,22.9013509230444,63107.9462623165,0
"Ind",1,"Other","Female",7920,29.0086756187281,56161.2081276663,1
"Ind",1,"Sales","Male",5962,26.0848106466155,62084.548201522,0
"Ind",1,"Other","Female",9381,26.0579302561709,58163.6138848166,0
"Ind",1,"Other","Female",7559,25.4580861577063,50813.5617412369,0
"Ind",1,"Sales","Female",3075,27.0050457446345,54450.4655420564,0
"Ind",2,"Finance","Male",3266,31.4166469816612,59846.1023915443,0
"Ind",1,"Marketing","Female",6474,24.5822256451682,44896.6134918755,0
"Ind",1,"Marketing","Male",2974,25.9184181955939,56967.2101542114,1
"Ind",1,"Finance","Male",4624,25.9125090127279,51323.0795294111,0
"Ind",1,"Marketing","Female",4612,23.7161758165904,60103.9692234806,0
"Ind",1,"Accounting","Male",7250,30.0525028110967,62584.9506516818,0
"Ind",1,"Marketing","Female",3157,22.9077034469227,59440.9441455976,1
"Ind",1,"Sales","Male",3665,27.1561035433474,49077.359290801,0
"Ind",1,"Finance","Male",3332,26.7509157310045,71194.8388884412,0
"Ind",1,"Sales","Female",5511,24.0124455186199,67410.2668914794,1
"Ind",1,"Marketing","Female",8060,23.161498653542,51298.0968981265,1
"Ind",1,"Finance","Male",2728,25.5550771977134,62929.3176194314,0
"Ind",1,"Marketing","Female",4369,25.4648697885572,63676.3357164397,1
"Ind",1,"Sales","Female",3005,28.9147912252323,61630.1737397726,1
"Ind",1,"Finance","Female",4816,27.1804234825367,53297.4972718038,0
"Ind",1,"Sales","Female",7137,29.2056258801935,61345.5902182169,1
"Ind",1,"Accounting","Male",5274,23.3402577970798,60959.1830509587,0
"Ind",1,"Marketing","Male",2705,27.0041111001584,63393.8463471043,0
"Ind",1,"Marketing","Male",9106,27.5190668470328,65634.4321199035,0
"Ind",1,"Accounting","Male",6614,24.6534497555687,59267.5852075098,1
"Ind",1,"Sales","Female",4102,29.0597691554042,61666.8504391251,1
"Ind",1,"Other","Male",7972,24.4648911181595,57366.8016168171,0
"Ind",1,"Finance","Female",4985,23.9641309418191,50610.2884171584,1
"Ind",1,"Accounting","Female",4164,24.3484439488715,63557.4360291795,0
"Ind",1,"Accounting","Female",9757,24.6109481388713,64491.8678425929,1
"Ind",1,"Other","Female",2970,25.1687373944623,63664.0894283259,0
"Ind",1,"Sales","Female",8770,29.0722773919461,57018.4019452939,1
"Ind",2,"Other","Male",4241,22.2808049763096,57710.2189223434,0
"Ind",1,"Marketing","Male",9924,31.3471752139404,55232.8700292574,0
"Ind",1,"Accounting","Male",6785,32.1045108438407,59568.7856188728,0
"Ind",1,"Finance","Female",1589,25.3463333148359,64187.8496500576,0
"Ind",1,"Sales","Male",4422,26.6076805479037,67949.51378715,0
"Ind",1,"Marketing","Female",2939,24.8641879558675,53421.0258794431,1
"Ind",1,"Accounting","Female",6118,23.5163654777991,53596.358679921,0
"Ind",1,"Marketing","Male",7500,30.6603544000374,72557.0680468055,0
"Ind",1,"Sales","Male",10263,25.2322956634226,62834.2428715586,0
"Ind",1,"Marketing","Male",1794,25.8269994465283,57470.8834497062,0
"Ind",1,"Accounting","Female",2522,22.8110504784408,58665.8351718144,1
"Ind",1,"Accounting","Female",5838,25.0706342831216,59331.8824072889,1
"Ind",1,"Other","Female",5619,24.1894832174817,66177.8207211625,0
"Ind",2,"Finance","Female",3363,23.63839078397,65308.0199020546,0
"Ind",1,"Other","Male",7627,31.825252688197,62037.8323436618,0
"Ind",1,"Marketing","Male",9453,23.4395539683219,56975.6704432486,0
"Ind",1,"Marketing","Female",9833,26.4808590971162,67882.7433402186,0
"Ind",1,"Accounting","Female",5403,30.1901320430627,57188.4240847083,1
"Ind",1,"Marketing","Male",3868,27.7225874935475,64500.7802931966,0
"Ind",1,"Other","Female",7608,32.7979828964132,63349.1647504511,0
"Ind",2,"Finance","Male",5502,22.5824981058851,67079.874638432,0
"Ind",1,"Finance","Female",2950,29.1546825112573,55891.4680366873,1
"Ind",1,"Other","Female",10404,30.866515534506,58288.7480105296,0
"Ind",1,"Marketing","Female",5968,26.3147081397865,54275.9665834885,0
"Ind",1,"Sales","Female",10209,23.380509270115,62292.1258293093,1
"Ind",1,"Other","Female",7128,27.3953905245831,52959.632254286,1
"Ind",1,"Sales","Male",5658,25.7116698103732,59119.855923531,0
