AGYTYP,AGYTYPT,AGY,AGYT,AGYSUB,AGYSUBT
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1S,"AF1S-HEADQUARTERS, AIR FORCE SPACE COMMAND"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF1Y,AF1Y-AIR FORCE CIVILIAN CAREER TRAINING
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF20,AF20-AIR FORCE AGENCY FOR MODELING/SIMULATION
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2A,AF2A-AIR FORCE COST ANALYSIS AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2E,AF2E-AIR FORCE LEGAL OPERATIONS AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2F,AF2F-AIR FORCE MEDICAL SUPPORT AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2H,AF2H-AIR FORCE OPERATIONS GROUP
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2I,AF2I-AIR NATIONAL GUARD SUPPORT CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2K,AF2K-AIR FORCE HISTORICAL RESEARCH AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2L,AF2L-AIR FORCE TECHNICAL APPLICATIONS CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2M,AF2M-AIR FORCE REVIEW BOARDS AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2Q,"AF2Q-HEADQUARTERS, AIR FORCE WEATHER AGENCY"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2R,AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2S,AF2S-AIR FORCE ELEMENTS NORAD
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2T,AF2T-AIR FORCE SAFETY CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF2Z,AF2Z-AIR FORCE MEDICAL OPERATIONS AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF34,AF34-AIR NATIONAL GUARD
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3C,"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3D,"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3Q,"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3T,"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND"
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF3V,AF3V-AIR FORCE ELEMENTS
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF40,AF40-NATIONAL AIR AND SPACE INTELLIGENCE CENTER
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF4D,AF4D-U.S. NORTHERN COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF4W,AF4W-AIR FORCE DISTRICT OF WASHINGTON
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AF5K,AF5K-AIR FORCE PETROLEUM AGENCY
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AFGS,AFGS-AIR FORCE GLOBAL STRIKE COMMAND
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AFNG,AFNG-AIR NATIONAL GUARD UNITS (TITLE 32)
1,Cabinet Level Agencies,AF,AF-DEPARTMENT OF THE AIR FORCE,AFZG,"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)"
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG01,AG01-OFFICE OF THE SECRETARY OF AGRICULTURE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG02,AG02-AGRICULTURAL MARKETING SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG03,AG03-AGRICULTURAL RESEARCH SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG07,AG07-RURAL HOUSING SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG08,AG08-RISK MANAGEMENT AGENCY
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG10,AG10-FOREIGN AGRICULTURAL SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG11,AG11-FOREST SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG13,AG13-OFFICE OF COMMUNICATIONS
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG14,AG14-OFFICE OF THE GENERAL COUNSEL
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG15,AG15-RURAL UTILITIES SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG16,AG16-NATURAL RESOURCES CONSERVATION SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG18,AG18-ECONOMIC RESEARCH SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG20,AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG22,AG22-NATIONAL INSTITUTE OF FOOD AND AGRICULTURE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG23,AG23-OFFICE OF THE INSPECTOR GENERAL
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG30,AG30-FOOD AND NUTRITION SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG32,AG32-RURAL BUSINESS-COOPERATIVE SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG34,AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG36,"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION"
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG37,AG37-FOOD SAFETY AND INSPECTION SERVICE
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG38,AG38-OFFICE OF THE CHIEF ECONOMIST
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG42,AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AG90,AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGAO,AGAO-OFFICE OF ADVOCACY AND OUTREACH
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGCR,AGCR-CIVIL RIGHTS
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGDA,AGDA-DEPARTMENTAL ADMINISTRATION
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGES,AGES-OFFICE OF THE EXECUTIVE SECRETARIAT
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGFA,AGFA-FARM SERVICE AGENCY
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGHL,AGHL-HOMELAND SECURITY STAFF
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGIT,AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER
1,Cabinet Level Agencies,AG,AG-DEPARTMENT OF AGRICULTURE,AGNA,AGNA-NATIONAL APPEALS DIVISION
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,AR2A,AR2A-UNITED STATES ARMY CYBER COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,AR3A,AR3A-U.S. ARMY CENTRAL
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,AR5A,AR5A-U.S. ARMY NORTH
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARA1,ARA1-US ARMY AFRICA/SOUTHERN EUROPEAN TASK FORCE (USAFRAF/SETAF)
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARAE,ARAE-U.S. ARMY ACQUISITION SUPPORT CENTER
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARAP,ARAP-U. S. MILITARY ENTRANCE PROCESSING COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARAS,ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARAT,ARAT-U.S. ARMY TEST AND EVALUATION COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARBA,ARBA-U.S. ARMY INSTALLATION MANAGEMENT COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARCB,ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARCE,ARCE-U.S. ARMY CORPS OF ENGINEERS
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARCS,ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARE1,ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARE2,ARE2-21ST THEATER SUSTAINMENT COMMAND (TSC)
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,AREN,AREN-SEVENTH ARMY TRAINING COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARFC,ARFC-U.S. ARMY FORCES COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARG6,ARG6-U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARGB,ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARHR,ARHR-U.S. ARMY RESERVE COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARJ1,ARJ1-U.S. ARMY ELEMENT SHAPE
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARJA,ARJA-JOINT ACTIVITIES
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMA,ARMA-U.S. MILITARY ACADEMY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMC,ARMC-U.S. ARMY MEDICAL COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARMW,ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARNG,ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32)
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARP1,"ARP1-U.S. ARMY, PACIFIC"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSA,ARSA-OFFICE OF THE SECRETARY OF THE ARMY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSB,ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSC,ARSC-U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSE,ARSE-HQDA FIELD OPERATING AGENCIES AND STAFF SUPPORT AGENCIES AND STAFF SUPPORT AGENCIES
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSF,ARSF-MISCELLANEOUS FIELD OPERATING AGENCIES
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSJ,"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSO,ARSO-U.S. ARMY SOUTH
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARSP,ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY)
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARTA,ARTA-U.S. ARMY RECRUITING COMMAND AND U.S. ARMY CADET COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARTC,ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARTW,ARTW-U.S. ARMY WAR COLLEGE
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX1,ARX1-U.S. ARMY MATERIAL COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX2,"ARX2-HEADQUARTERS, AMC"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX6,ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX7,ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM)
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARX8,ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXB,ARXB-U.S. ARMY CHEMICAL MATERIALS ACTIVITY
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXC,ARXC-U.S. ARMY SUSTAINMENT COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXD,ARXD-U. S. ARMY CONTRACTING COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXK,ARXK-MATERIEL ACQUISITION ACTIVITIES
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXP,ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXQ,ARXQ-U.S. ARMY JOINT MUNITIONS COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXR,"ARXR-U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND"
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXT,ARXT-U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND
1,Cabinet Level Agencies,AR,AR-DEPARTMENT OF THE ARMY,ARXX,ARXX-MATERIEL READINESS ACTIVITIES
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM51,CM51-OFFICE OF THE SECRETARY
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM52,CM52-ECONOMIC DEVELOPMENT ADMINISTRATION
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM53,CM53-BUREAU OF ECONOMIC ANALYSIS
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM54,CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM55,CM55-INTERNATIONAL TRADE ADMINISTRATION
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM56,CM56-PATENT AND TRADEMARK OFFICE
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM57,CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM59,CM59-MINORITY BUSINESS DEVELOPMENT AGENCY
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM61,CM61-NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM62,CM62-NATIONAL TECHNICAL INFORMATION SERVICE
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM63,CM63-BUREAU OF THE CENSUS
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM64,CM64-OFFICE OF THE INSPECTOR GENERAL
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM65,CM65-ECONOMICS AND STATISTICS ADMINISTRATION
1,Cabinet Level Agencies,CM,CM-DEPARTMENT OF COMMERCE,CM67,CM67-BUREAU OF INDUSTRY AND SECURITY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD01,DD01-OFFICE OF THE SECRETARY OF DEFENSE
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD02,DD02-ORGANIZATION OF THE JOINT CHIEFS OF STAFF
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD04,DD04-DEFENSE INFORMATION SYSTEMS AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD06,DD06-DEFENSE SECURITY COOPERATION AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD07,DD07-DEFENSE LOGISTICS AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD08,DD08-U.S. COURT OF APPEALS FOR THE ARMED FORCES
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD10,DD10-DEFENSE CONTRACT AUDIT AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD12,DD12-DEFENSE SECURITY SERVICE
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD13,DD13-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD15,DD15-UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD16,DD16-DEPARTMENT OF DEFENSE EDUCATION ACTIVITY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD21,DD21-WASHINGTON HEADQUARTERS SERVICES
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD23,DD23-OFFICE OF ECONOMIC ADJUSTMENT
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD25,DD25-DEFENSE LEGAL SERVICES AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD26,DD26-OFFICE OF THE INSPECTOR GENERAL
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD27,DD27-MISSILE DEFENSE AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD29,DD29-DEFENSE TECHNOLOGY SECURITY ADMINISTRATION
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD34,DD34-DEFENSE COMMISSARY AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD35,DD35-DEFENSE FINANCE AND ACCOUNTING SERVICE
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD48,DD48-DEFENSE HUMAN RESOURCES ACTIVITY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD53,DD53-DEFENSE POW/MIA ACCOUNTING AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD60,DD60-DEFENSE HEALTH AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD61,DD61-DEFENSE THREAT REDUCTION AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD63,DD63-DEFENSE CONTRACT MANAGEMENT AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD65,DD65-PENTAGON FORCE PROTECTION AGENCY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD68,DD68-DEPARTMENT OF DEFENSE TEST RESOURCE MANAGEMENT CENTER
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD69,DD69-NATIONAL DEFENSE UNIVERSITY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD71,DD71-DEFENSE MICROELECTRONICS ACTIVITY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD74,DD74-DEFENSE TECHNICAL INFORMATION CENTER
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD80,DD80-DEFENSE MEDIA ACTIVITY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD81,DD81-DEFENSE ACQUISITION UNIVERSITY
1,Cabinet Level Agencies,DD,DD-DEPARTMENT OF DEFENSE,DD82,DD82-NATIONAL RECONNAISSANCE OFFICE
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ01,"DJ01-OFFICES, BOARDS AND DIVISIONS"
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ02,DJ02-FEDERAL BUREAU OF INVESTIGATION
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ03,DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ06,DJ06-DRUG ENFORCEMENT ADMINISTRATION
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ07,DJ07-OFFICE OF JUSTICE PROGRAMS
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ08,DJ08-U.S. MARSHALS SERVICE
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ09,DJ09-EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ10,DJ10-OFFICE OF THE INSPECTOR GENERAL
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ11,DJ11-U.S. TRUSTEE PROGRAM
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ12,DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ14,DJ14-COMMUNITY RELATIONS SERVICE
1,Cabinet Level Agencies,DJ,DJ-DEPARTMENT OF JUSTICE,DJ15,"DJ15-BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES"
1,Cabinet Level Agencies,DL,DL-DEPARTMENT OF LABOR,DLAA,DLAA-OFFICE OF THE SECRETARY OF LABOR
